Elapsed Sec,Evacuation Rate
601.064,0.8221154
601.084,0.8221154
601.1041,0.8221154
601.1241,0.8221154
601.1441,0.8221154
601.1641,0.8221154
601.1841,0.8221154
601.2042,0.8221154
601.2242,0.8221154
601.2442,0.8221154
601.2642,0.8221154
601.2842,0.8221154
601.3043,0.8221154
601.3243,0.8221154
601.3443,0.8221154
601.3643,0.8221154
601.3843,0.8221154
601.4044,0.8221154
601.4244,0.8221154
601.4444,0.8221154
601.4644,0.8221154
601.4844,0.8221154
601.5045,0.8221154
601.5245,0.8221154
601.5445,0.8221154
601.5645,0.8221154
601.5845,0.8221154
601.6046,0.8221154
601.6246,0.8221154
601.6446,0.8221154
601.6646,0.8221154
601.6846,0.8221154
601.7047,0.8221154
601.7247,0.8221154
601.7447,0.8221154
601.7647,0.8221154
601.7847,0.8221154
601.8047,0.8221154
601.8248,0.8221154
601.8448,0.8221154
601.8648,0.8221154
601.8848,0.8221154
601.9048,0.8221154
601.9249,0.8221154
601.9449,0.8221154
601.9649,0.8221154
601.9849,0.8221154
602.0049,0.8221154
602.025,0.8221154
602.045,0.8221154
602.065,0.8221154
602.085,0.8221154
602.105,0.8221154
602.1251,0.8221154
602.1451,0.8221154
602.1651,0.8221154
602.1851,0.8221154
602.2051,0.8221154
602.2252,0.8221154
602.2452,0.8221154
602.2652,0.8221154
602.2852,0.8221154
602.3052,0.8221154
602.3253,0.8221154
602.3453,0.8221154
602.3653,0.8221154
602.3853,0.8221154
602.4053,0.8221154
602.4254,0.8221154
602.4454,0.8221154
602.4654,0.8221154
602.4854,0.8221154
602.5054,0.8221154
602.5255,0.8221154
602.5455,0.8221154
602.5655,0.8221154
602.5855,0.8221154
602.6055,0.8221154
602.6255,0.8221154
602.6456,0.8221154
602.6656,0.8221154
602.6856,0.8221154
602.7056,0.8221154
602.7256,0.8221154
602.7457,0.8221154
602.7657,0.8221154
602.7857,0.8221154
602.8057,0.8221154
602.8257,0.8221154
602.8458,0.8221154
602.8658,0.8221154
602.8858,0.8221154
602.9058,0.8221154
602.9258,0.8221154
602.9459,0.8221154
602.9659,0.8221154
602.9859,0.8221154
603.0059,0.8221154
603.0259,0.8221154
603.046,0.8221154
603.066,0.8221154
603.086,0.8221154
603.106,0.8221154
603.126,0.8221154
603.1461,0.8221154
603.1661,0.8221154
603.1861,0.8221154
603.2061,0.8221154
603.2261,0.8221154
603.2462,0.8221154
603.2662,0.8221154
603.2862,0.8221154
603.3062,0.8221154
603.3262,0.8221154
603.3463,0.8221154
603.3663,0.8221154
603.3863,0.8221154
603.4063,0.8221154
603.4263,0.8221154
603.4464,0.8221154
603.4664,0.8221154
603.4864,0.8221154
603.5064,0.8221154
603.5264,0.8221154
603.5464,0.8221154
603.5665,0.8221154
603.5865,0.8221154
603.6065,0.8221154
603.6265,0.8221154
603.6465,0.8221154
603.6666,0.8221154
603.6866,0.8221154
603.7066,0.8221154
603.7266,0.8221154
603.7466,0.8221154
603.7667,0.8221154
603.7867,0.8221154
603.8067,0.8221154
603.8267,0.8221154
603.8467,0.8221154
603.8668,0.8221154
603.8868,0.8221154
603.9068,0.8221154
603.9268,0.8221154
603.9468,0.8221154
603.9669,0.8221154
603.9869,0.8221154
604.0069,0.8221154
604.0269,0.8221154
604.0469,0.8221154
604.067,0.8221154
604.087,0.8221154
604.107,0.8221154
604.127,0.8221154
604.147,0.8221154
604.1671,0.8221154
604.1871,0.8221154
604.2071,0.8221154
604.2271,0.8221154
604.2471,0.8221154
604.2672,0.8221154
604.2872,0.8221154
604.3072,0.8221154
604.3272,0.8221154
604.3472,0.8221154
604.3672,0.8221154
604.3873,0.8221154
604.4073,0.8221154
604.4273,0.8221154
604.4473,0.8221154
604.4673,0.8221154
604.4874,0.8221154
604.5074,0.8221154
604.5274,0.8221154
604.5474,0.8221154
604.5674,0.8221154
604.5875,0.8221154
604.6075,0.8221154
604.6275,0.8221154
604.6475,0.8221154
604.6675,0.8221154
604.6876,0.8221154
604.7076,0.8221154
604.7276,0.8221154
604.7476,0.8221154
604.7676,0.8221154
604.7877,0.8221154
604.8077,0.8221154
604.8277,0.8221154
604.8477,0.8221154
604.8677,0.8221154
